"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"191",721.709027777778,1413,1191,15093.2310300001,5635.78066000003,4,10,20.9131803110095,"SEQ","AUDUSD","5 mins","40/10/1/-1.15/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"471",721.709027777778,1298,1091,15330.22127,5635.78066000003,4,10,21.2415539780671,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"491",721.709027777778,1300,1089,15357.74529,5635.78066000003,4,10,21.2796912590774,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"281",721.709027777778,1263,1080,7877.79539208994,6000,5,3.6608295950914,10.9154729799439,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/60/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"411",721.709027777778,1279,1069,15549.78994,5635.78066000003,4,10,21.54578831843,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"171",721.709027777778,1258,1063,17214.4532200002,5635.78066000003,4,10,23.8523456925646,"SEQ","AUDUSD","5 mins","40/10/1/-1.25/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"391",721.709027777778,1231,1051,7654.55395415277,6000,4,5.77936524740242,10.6061496524742,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/3/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"431",721.709027777778,1238,1027,16644.44388,5635.78066000003,4,10,23.0625407738768,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/60/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"441",721.709027777778,1232,1021,16052.2918699999,5635.78066000003,4,10,22.2420549725236,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/75/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"451",721.709027777778,1220,1007,16627.0206900001,5635.78066000003,4,10,23.0383992025104,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/90/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
