"","currency","event","actual","forecast","previous","impact","DateUTC"
"291","GBP","Average Earnings Index 3m/y","3.6%","2.9%","2.8%","yellow","2021-01-25 22:00:00"
"292","GBP","Claimant Count Change","7.0K","47.5K","38.1K","yellow","2021-01-26 08:00:00"
"293","GBP","Unemployment Rate","5.0%","5.1%","4.9%","yellow","2021-01-26 08:00:00"
"294","GBP","CBI Realized Sales","-50","-32","-3","yellow","2021-01-26 02:00:00"
"295","GBP","30-y Bond Auction","0.84|2.4","","0.84|2.6","yellow","2021-01-26 02:34:00"
"296","USD","HPI m/m","1.0%","0.9%","1.5%","yellow","2021-01-26 05:00:00"
"297","USD","S&P/CS Composite-20 HPI y/y","9.1%","8.8%","8.0%","yellow","2021-01-26 08:00:00"
"298","USD","Richmond Manufacturing Index","14","18","19","yellow","2021-01-26 05:59:00"
"299","USD","CB Consumer Confidence","89.3","88.9","87.1","orange","2021-01-26 06:00:00"
"300","AUD","MI Leading Index m/m","0.1%","","0.7%","yellow","2021-01-26 14:30:00"
"301","GBP","BRC Shop Price Index y/y","-2.2%","","-1.8%","yellow","2021-01-26 15:01:00"
"302","AUD","CPI q/q","0.9%","0.7%","1.6%","red","2021-01-26 15:30:00"
"303","AUD","Trimmed Mean CPI q/q","0.4%","0.4%","0.3%","red","2021-01-26 08:00:00"
"304","AUD","NAB Business Confidence","4","","13","yellow","2021-01-26 08:00:00"
"305","EUR","German GfK Consumer Climate","-15.6","-7.8","-7.5","yellow","2021-01-26 22:00:00"
"306","CHF","Credit Suisse Economic Expectations","43.2","","46.8","yellow","2021-01-27 00:00:00"
"307","EUR","German 10-y Bond Auction","-0.54|2.0","","-0.52|1.6","yellow","2021-01-27 01:34:00"
"308","USD","Core Durable Goods Orders m/m","0.7%","0.5%","0.4%","yellow","2021-01-27 04:30:00"
"309","USD","Durable Goods Orders m/m","0.2%","1.0%","1.0%","yellow","2021-01-27 08:00:00"
"310","USD","Crude Oil Inventories","-9.9M","1.6M","4.4M","yellow","2021-01-27 06:30:00"
"311","USD","FOMC Statement","","","","red","2021-01-27 10:00:00"
"312","USD","Federal Funds Rate","<0.25%","<0.25%","<0.25%","orange","2021-01-27 08:00:00"
"313","USD","FOMC Press Conference","","","","red","2021-01-27 10:30:00"
"314","NZD","Trade Balance","17M","800M","290M","yellow","2021-01-27 12:45:00"
"315","JPY","Retail Sales y/y","-0.3%","-0.4%","0.6%","yellow","2021-01-27 14:50:00"
"316","AUD","Import Prices q/q","-1.0%","-0.9%","-3.5%","yellow","2021-01-27 15:30:00"
"317","CHF","Trade Balance","2.88B","4.23B","4.48B","yellow","2021-01-27 22:00:00"
"318","EUR","German Prelim CPI m/m","0.8%","0.4%","0.5%","yellow","2021-01-28 08:00:00"
"319","EUR","Spanish Unemployment Rate","16.1%","16.7%","16.3%","yellow","2021-01-27 23:00:00"
"320","EUR","Italian 10-y Bond Auction","0.65|1.4","","0.59|1.6","yellow","2021-01-28 01:12:00"
"321","CAD","Building Permits m/m","-4.1%","-4.9%","12.5%","yellow","2021-01-28 04:30:00"
"322","USD","Advance GDP q/q","4.0%","4.2%","33.4%","red","2021-01-28 08:00:00"
"323","USD","Unemployment Claims","847K","880K","914K","orange","2021-01-28 08:00:00"
"324","USD","Goods Trade Balance","-82.5B","-83.4B","-85.5B","yellow","2021-01-28 08:00:00"
"325","USD","Prelim Wholesale Inventories m/m","0.1%","0.5%","0.0%","yellow","2021-01-28 08:00:00"
"326","USD","Advance GDP Price Index q/q","2.0%","2.2%","3.5%","orange","2021-01-28 04:32:00"
"327","USD","CB Leading Index m/m","0.3%","0.3%","0.7%","orange","2021-01-28 06:00:00"
"328","USD","New Home Sales","842K","860K","829K","yellow","2021-01-28 08:00:00"
"329","USD","Natural Gas Storage","-128B","-140B","-187B","yellow","2021-01-28 06:30:00"
"330","JPY","Tokyo Core CPI y/y","-0.4%","-0.6%","-0.9%","yellow","2021-01-28 14:30:00"
"331","JPY","Unemployment Rate","2.9%","3.0%","2.9%","yellow","2021-01-28 08:00:00"
"332","JPY","BOJ Summary of Opinions","","","","yellow","2021-01-28 14:50:00"
"333","JPY","Prelim Industrial Production m/m","-1.6%","-1.4%","-0.5%","yellow","2021-01-28 08:00:00"
"334","AUD","PPI q/q","0.5%","0.4%","0.4%","yellow","2021-01-28 15:30:00"
"335","AUD","Private Sector Credit m/m","0.3%","0.2%","0.1%","yellow","2021-01-28 08:00:00"
"336","JPY","Housing Starts y/y","-9.0%","-3.8%","-3.7%","yellow","2021-01-28 20:00:00"
"337","JPY","Consumer Confidence","29.6","29.1","31.8","yellow","2021-01-28 20:02:00"
"338","EUR","French Consumer Spending m/m","23.0%","24.0%","-18.0%","yellow","2021-01-28 21:30:00"
"339","EUR","French Flash GDP q/q","-1.3%","-4.0%","18.7%","yellow","2021-01-29 08:00:00"
"340","EUR","German Import Prices m/m","0.6%","1.0%","0.5%","yellow","2021-01-28 22:00:00"
"341","CHF","KOF Economic Barometer","96.5","102.2","104.1","orange","2021-01-28 23:00:00"
"342","EUR","Spanish Flash CPI y/y","0.6%","-0.5%","-0.5%","yellow","2021-01-29 08:00:00"
"343","EUR","Spanish Flash GDP q/q","0.4%","-1.4%","16.4%","yellow","2021-01-29 08:00:00"
"344","EUR","German Unemployment Change","-41K","7K","-40K","yellow","2021-01-28 23:55:00"
"345","EUR","German Prelim GDP q/q","0.1%","0.0%","8.5%","orange","2021-01-29 00:00:00"
"346","EUR","M3 Money Supply y/y","12.3%","11.0%","11.0%","yellow","2021-01-29 08:00:00"
"347","EUR","Private Loans y/y","3.1%","3.2%","3.1%","yellow","2021-01-29 08:00:00"
"348","CAD","GDP m/m","0.7%","0.4%","0.4%","orange","2021-01-29 04:30:00"
"349","CAD","IPPI m/m","1.5%","1.4%","-0.6%","yellow","2021-01-29 08:00:00"
"350","CAD","RMPI m/m","3.5%","2.5%","0.6%","yellow","2021-01-29 08:00:00"
"351","USD","Core PCE Price Index m/m","0.3%","0.1%","0.0%","yellow","2021-01-29 08:00:00"
"352","USD","Employment Cost Index q/q","0.7%","0.5%","0.5%","yellow","2021-01-29 08:00:00"
"353","USD","Personal Income m/m","0.6%","0.1%","-1.3%","yellow","2021-01-29 08:00:00"
"354","USD","Personal Spending m/m","-0.2%","-0.4%","-0.7%","yellow","2021-01-29 08:00:00"
"355","USD","Chicago PMI","63.8","58.4","59.5","yellow","2021-01-29 05:45:00"
"356","USD","Pending Home Sales m/m","-0.3%","-0.5%","-2.5%","yellow","2021-01-29 06:00:00"
"357","USD","Revised UoM Consumer Sentiment","79.0","79.2","79.2","yellow","2021-01-29 08:00:00"
"358","USD","Revised UoM Inflation Expectations","3.0%","","3.0%","yellow","2021-01-29 08:00:00"
"359","CNY","Manufacturing PMI","51.3","51.5","51.9","yellow","2021-01-30 16:00:00"
"360","CNY","Non-Manufacturing PMI","52.4","55.1","55.7","yellow","2021-01-30 08:00:00"
"361","AUD","AIG Manufacturing Index","55.3","","52.1","yellow","2021-01-31 12:30:00"
"362","AUD","MI Inflation Gauge m/m","0.2%","","0.5%","yellow","2021-01-31 15:00:00"
"363","AUD","ANZ Job Advertisements m/m","2.3%","","8.6%","yellow","2021-01-31 15:30:00"
"364","JPY","Final Manufacturing PMI","49.8","49.8","49.7","yellow","2021-01-31 08:00:00"
"365","CNY","Caixin Manufacturing PMI","51.5","52.6","53.0","yellow","2021-01-31 16:45:00"
"366","AUD","Commodity Prices y/y","19.7%","","12.7%","yellow","2021-01-31 20:30:00"
"367","EUR","German Retail Sales m/m","-9.6%","-2.0%","1.1%","yellow","2021-01-31 22:00:00"
"368","CHF","Retail Sales y/y","4.7%","1.5%","1.8%","yellow","2021-01-31 22:30:00"
"369","EUR","Spanish Manufacturing PMI","49.3","50.2","51.0","yellow","2021-01-31 23:15:00"
"370","CHF","Manufacturing PMI","59.4","56.5","58.0","yellow","2021-01-31 23:30:00"
"371","EUR","Italian Manufacturing PMI","55.1","52.5","52.8","yellow","2021-01-31 23:45:00"
"372","EUR","French Final Manufacturing PMI","51.6","51.5","51.5","yellow","2021-01-31 23:50:00"
"373","EUR","German Final Manufacturing PMI","57.1","57.0","57.0","yellow","2021-01-31 23:55:00"
"374","EUR","Final Manufacturing PMI","54.8","54.7","54.7","yellow","2021-02-01 00:00:00"
"375","EUR","Italian Monthly Unemployment Rate","9.0%","9.0%","8.8%","yellow","2021-02-01 08:00:00"
"376","GBP","Final Manufacturing PMI","54.1","52.9","52.9","orange","2021-02-01 00:30:00"
"377","GBP","M4 Money Supply m/m","0.7%","0.9%","0.8%","yellow","2021-02-01 08:00:00"
"378","GBP","Mortgage Approvals","103K","100K","105K","yellow","2021-02-01 08:00:00"
"379","GBP","Net Lending to Individuals m/m","4.6B","4.3B","4.3B","yellow","2021-02-01 08:00:00"
"380","EUR","Unemployment Rate","8.3%","8.3%","8.3%","yellow","2021-02-01 01:00:00"
"381","CAD","Manufacturing PMI","54.4","","57.9","orange","2021-02-01 05:30:00"
"382","USD","Final Manufacturing PMI","59.2","59.1","59.1","yellow","2021-02-01 05:45:00"
"383","USD","ISM Manufacturing PMI","58.7","60.0","60.7","red","2021-02-01 06:00:00"
"384","USD","Construction Spending m/m","1.0%","0.8%","1.1%","yellow","2021-02-01 08:00:00"
"385","USD","ISM Manufacturing Prices","82.1","72.0","77.6","yellow","2021-02-01 08:00:00"
"386","USD","FOMC Member Bostic Speaks","","","","yellow","2021-02-01 10:00:00"
"387","USD","Loan Officer Survey","","","","yellow","2021-02-01 08:00:00"
"388","JPY","Monetary Base y/y","18.9%","19.2%","18.3%","yellow","2021-02-01 14:50:00"
"389","AUD","RBA Rate Statement","","","","red","2021-02-01 18:30:00"
"390","AUD","Cash Rate","0.10%","0.10%","0.10%","orange","2021-02-01 08:00:00"
"391","JPY","10-y Bond Auction","0.05|3.4","","0.02|3.4","yellow","2021-02-01 18:35:00"
"392","GBP","Nationwide HPI m/m","-0.3%","0.3%","0.9%","yellow","2021-02-01 21:59:00"
"393","EUR","French Prelim CPI m/m","0.2%","0.0%","0.2%","yellow","2021-02-01 22:45:00"
"394","EUR","Spanish Unemployment Change","76.2K","35.3K","36.8K","yellow","2021-02-01 23:00:00"
"395","EUR","Italian Prelim GDP q/q","-2.0%","-2.0%","15.9%","yellow","2021-02-02 00:00:00"
"396","EUR","Prelim Flash GDP q/q","-0.7%","-0.9%","12.5%","yellow","2021-02-02 01:00:00"
"397","NZD","GDT Price Index","1.8%","","4.8%","yellow","2021-02-02 05:31:00"
"398","USD","IBD/TIPP Economic Optimism","51.9","51.0","50.1","yellow","2021-02-02 06:00:00"
"399","USD","Wards Total Vehicle Sales","16.6M","16.1M","16.3M","yellow","2021-02-02 08:00:00"
"400","AUD","AIG Construction Index","57.6","","55.3","yellow","2021-02-02 12:30:00"
"401","NZD","Employment Change q/q","0.6%","0.1%","-0.7%","red","2021-02-02 12:45:00"
"402","NZD","Unemployment Rate","4.9%","5.6%","5.3%","red","2021-02-02 08:00:00"
"403","NZD","Labor Cost Index q/q","0.5%","0.5%","0.4%","yellow","2021-02-02 08:00:00"
"404","NZD","ANZ Commodity Prices m/m","3.6%","","1.8%","yellow","2021-02-02 15:00:00"
"405","AUD","Building Approvals m/m","10.9%","3.2%","3.4%","yellow","2021-02-02 15:30:00"
"406","AUD","RBA Gov Lowe Speaks","","","","orange","2021-02-02 16:30:00"
"407","CNY","Caixin Services PMI","52.0","55.5","56.3","yellow","2021-02-02 16:45:00"
"408","EUR","French Gov Budget Balance","-178.1B","","-176.8B","yellow","2021-02-02 22:45:00"
"409","EUR","Spanish Services PMI","41.7","45.1","48.0","yellow","2021-02-02 23:15:00"
"410","EUR","Italian Services PMI","44.7","39.5","39.7","yellow","2021-02-02 23:45:00"
"411","EUR","French Final Services PMI","47.3","46.5","46.5","yellow","2021-02-02 23:50:00"
"412","EUR","German Final Services PMI","46.7","46.8","46.8","yellow","2021-02-02 23:55:00"
"413","EUR","Final Services PMI","45.4","45.0","45.0","yellow","2021-02-03 00:00:00"
"414","GBP","Final Services PMI","39.5","38.8","38.8","orange","2021-02-03 00:30:00"
"415","EUR","Core CPI Flash Estimate y/y","1.4%","0.9%","0.2%","yellow","2021-02-03 01:00:00"
"416","EUR","CPI Flash Estimate y/y","0.9%","0.6%","-0.3%","yellow","2021-02-03 08:00:00"
"417","EUR","PPI m/m","0.8%","0.7%","0.4%","yellow","2021-02-03 08:00:00"
"418","EUR","Italian Prelim CPI m/m","0.5%","0.2%","0.2%","yellow","2021-02-03 08:00:00"
"419","GBP","10-y Bond Auction","0.44|2.9","","0.33|2.9","yellow","2021-02-03 01:06:00"
"420","All","OPEC-JMMC Meetings","","","","red","2021-02-03 08:00:00"
"421","USD","ADP Non-Farm Employment Change","174K","48K","-78K","orange","2021-02-03 04:15:00"
"422","USD","Final Services PMI","58.3","57.4","57.5","yellow","2021-02-03 05:45:00"
"423","USD","ISM Services PMI","58.7","56.7","57.2","orange","2021-02-03 06:00:00"
"424","USD","Crude Oil Inventories","-1.0M","-0.6M","-9.9M","orange","2021-02-03 06:30:00"
"425","NZD","Building Consents m/m","4.9%","","1.2%","yellow","2021-02-03 12:45:00"
"426","USD","FOMC Member Evans Speaks","","","","yellow","2021-02-03 13:00:00"
"427","NZD","Prelim ANZ Business Confidence","11.8","","9.4","yellow","2021-02-03 15:00:00"
"428","AUD","NAB Quarterly Business Confidence","14","","-8","yellow","2021-02-03 15:30:00"
"429","AUD","Trade Balance","6.79B","9.00B","5.01B","yellow","2021-02-03 08:00:00"
"430","JPY","30-y Bond Auction","0.66|3.5","","0.65|3.0","yellow","2021-02-03 18:35:00"
"431","CHF","SECO Consumer Climate","-15","-19","-13","yellow","2021-02-03 23:00:00"
"432","EUR","ECB Economic Bulletin","","","","yellow","2021-02-04 00:00:00"
"433","GBP","Construction PMI","49.2","53.0","54.6","yellow","2021-02-04 00:30:00"
"434","EUR","Spanish 10-y Bond Auction","0.16|1.6","","-0.03|3.0","yellow","2021-02-04 00:50:00"
"435","EUR","Retail Sales m/m","2.0%","2.4%","-5.7%","yellow","2021-02-04 01:00:00"
"436","EUR","French 10-y Bond Auction","-0.25|2.2","","-0.33|1.9","yellow","2021-02-04 01:08:00"
"437","GBP","Asset Purchase Facility","875B","875B","875B","red","2021-02-04 03:00:00"
"438","GBP","BOE Monetary Policy Report","","","","red","2021-02-04 08:00:00"
"439","GBP","Monetary Policy Summary","","","","red","2021-02-04 08:00:00"
"440","GBP","MPC Asset Purchase Facility Votes","0-0-9","0-0-9","0-0-9","red","2021-02-04 08:00:00"
"441","GBP","MPC Official Bank Rate Votes","0-0-9","0-0-9","0-0-9","red","2021-02-04 08:00:00"
"442","GBP","Official Bank Rate","0.10%","0.10%","0.10%","red","2021-02-04 08:00:00"
"443","USD","Challenger Job Cuts y/y","17.4%","","134.5%","yellow","2021-02-04 03:30:00"
"444","GBP","BOE Gov Bailey Speaks","","","","red","2021-02-04 04:13:00"
"445","USD","Unemployment Claims","779K","828K","812K","orange","2021-02-04 04:30:00"
"446","USD","Prelim Nonfarm Productivity q/q","-4.8%","-2.9%","4.6%","yellow","2021-02-04 08:00:00"
"447","USD","Prelim Unit Labor Costs q/q","6.8%","4.1%","-6.6%","yellow","2021-02-04 08:00:00"
"448","USD","Factory Orders m/m","1.1%","0.7%","1.3%","yellow","2021-02-04 06:00:00"
"449","USD","Natural Gas Storage","-192B","-194B","-128B","yellow","2021-02-04 06:30:00"
"450","USD","FOMC Member Daly Speaks","","","","yellow","2021-02-04 10:00:00"
"451","AUD","AIG Services Index","54.3","","52.9","yellow","2021-02-04 12:30:00"
"452","AUD","RBA Gov Lowe Speaks","","","","orange","2021-02-04 13:30:00"
"453","JPY","Household Spending y/y","-0.6%","-1.9%","1.1%","yellow","2021-02-04 14:30:00"
"454","AUD","RBA Monetary Policy Statement","","","","orange","2021-02-04 15:30:00"
"455","JPY","Leading Indicators","94.9%","95.1%","96.4%","yellow","2021-02-04 20:00:00"
"456","EUR","German Factory Orders m/m","-1.9%","-1.2%","2.7%","yellow","2021-02-04 22:00:00"
"457","EUR","French Prelim Private Payrolls q/q","-0.2%","-0.7%","1.6%","yellow","2021-02-04 22:45:00"
"458","EUR","French Trade Balance","-3.4B","-4.2B","-3.8B","yellow","2021-02-05 08:00:00"
"459","CHF","Foreign Currency Reserves","896B","","892B","yellow","2021-02-04 23:00:00"
"460","GBP","Halifax HPI m/m","-0.3%","0.7%","0.0%","yellow","2021-02-04 23:30:00"
"461","EUR","Italian Retail Sales m/m","2.5%","1.5%","-6.9%","yellow","2021-02-05 00:00:00"
"462","GBP","BOE Gov Bailey Speaks","","","","red","2021-02-05 03:15:00"
"463","CAD","Employment Change","-212.8K","-43.5K","-62.6K","red","2021-02-05 04:30:00"
"464","CAD","Unemployment Rate","9.4%","8.9%","8.6%","red","2021-02-05 08:00:00"
"465","CAD","Trade Balance","-1.7B","-3.0B","-3.6B","yellow","2021-02-05 08:00:00"
"466","GBP","BOE Gov Bailey Speaks","","","","orange","2021-02-05 08:00:00"
"467","USD","Average Hourly Earnings m/m","0.2%","0.3%","1.0%","red","2021-02-05 08:00:00"
"468","USD","Non-Farm Employment Change","49K","85K","-227K","red","2021-02-05 08:00:00"
"469","USD","Unemployment Rate","6.3%","6.7%","6.7%","red","2021-02-05 08:00:00"
"470","USD","Trade Balance","-66.6B","-66.0B","-69.0B","yellow","2021-02-05 08:00:00"
"471","CAD","Ivey PMI","48.4","49.5","46.7","orange","2021-02-05 06:00:00"
"472","USD","Consumer Credit m/m","9.7B","12.1B","13.9B","yellow","2021-02-05 11:00:00"
"473","NZD","Bank Holiday","","","","grey","2021-02-07 08:00:00"
"474","JPY","Bank Lending y/y","6.1%","6.3%","6.2%","yellow","2021-02-07 14:50:00"
"475","JPY","Current Account","2.28T","2.21T","2.34T","yellow","2021-02-07 08:00:00"
"476","JPY","Economy Watchers Sentiment","31.2","30.5","35.5","yellow","2021-02-07 20:02:00"
"477","CHF","Unemployment Rate","3.5%","3.4%","3.5%","yellow","2021-02-07 21:45:00"
"478","EUR","German Industrial Production m/m","0.0%","0.1%","1.5%","yellow","2021-02-07 22:00:00"
"479","EUR","Sentix Investor Confidence","-0.2","4.1","1.3","yellow","2021-02-08 00:30:00"
"480","JPY","Average Cash Earnings y/y","-3.2%","-4.7%","-1.8%","yellow","2021-02-08 14:30:00"
"481","JPY","M2 Money Stock y/y","9.4%","9.2%","9.1%","yellow","2021-02-08 14:50:00"
"482","GBP","BRC Retail Sales Monitor y/y","7.1%","5.4%","4.8%","yellow","2021-02-08 15:01:00"
"483","AUD","NAB Business Confidence","10","","5","yellow","2021-02-08 15:30:00"
"484","NZD","Inflation Expectations q/q","1.89%","","1.59%","orange","2021-02-08 17:00:00"
"485","JPY","Prelim Machine Tool Orders y/y","9.7%","","9.9%","yellow","2021-02-08 20:59:00"
"486","EUR","German Trade Balance","16.1B","14.2B","16.0B","yellow","2021-02-08 22:00:00"
"487","CNY","M2 Money Supply y/y","9.4%","10.1%","10.1%","yellow","2021-02-08 23:00:00"
"488","CNY","New Loans","3580B","3500B","1260B","yellow","2021-02-09 08:00:00"
"489","EUR","Italian Industrial Production m/m","-0.2%","2.1%","-1.4%","yellow","2021-02-09 00:00:00"
"490","USD","NFIB Small Business Index","95.0","96.6","95.9","yellow","2021-02-09 02:00:00"
"491","USD","JOLTS Job Openings","6.65M","6.42M","6.57M","yellow","2021-02-09 06:00:00"
"492","AUD","Westpac Consumer Sentiment","1.9%","","-4.5%","yellow","2021-02-09 14:30:00"
"493","JPY","PPI y/y","-1.6%","-1.6%","-2.0%","yellow","2021-02-09 14:50:00"
"494","CNY","CPI y/y","-0.3%","0.0%","0.2%","yellow","2021-02-09 16:30:00"
"495","CNY","PPI y/y","0.3%","0.3%","-0.4%","yellow","2021-02-09 08:00:00"
"496","CNY","Foreign Direct Investment ytd/y","4.6%","","6.2%","yellow","2021-02-09 17:22:00"
"497","EUR","German Final CPI m/m","0.8%","0.8%","0.8%","yellow","2021-02-09 22:00:00"
"498","EUR","French Industrial Production m/m","-0.8%","0.4%","-0.7%","yellow","2021-02-09 22:45:00"
"499","USD","CPI m/m","0.3%","0.3%","0.4%","red","2021-02-10 04:30:00"
"500","USD","CPI y/y","1.4%","1.4%","1.4%","red","2021-02-10 08:00:00"
"501","USD","Core CPI m/m","0.0%","0.2%","0.1%","orange","2021-02-10 08:00:00"
"502","USD","Final Wholesale Inventories m/m","0.3%","0.1%","0.1%","yellow","2021-02-10 06:00:00"
"503","USD","Crude Oil Inventories","-6.6M","-0.9M","-1.0M","orange","2021-02-10 06:30:00"
"504","CAD","Gov Council Member Lane Speaks","","","","yellow","2021-02-10 07:30:00"
"505","GBP","BOE Gov Bailey Speaks","","","","orange","2021-02-10 08:00:00"
"506","USD","10-y Bond Auction","1.16|2.4","","1.16|2.5","yellow","2021-02-10 09:01:00"
"507","USD","Fed Chair Powell Speaks","","","","red","2021-02-10 10:00:00"
"508","USD","Federal Budget Balance","-162.8B","-152.4B","-143.6B","yellow","2021-02-10 08:00:00"
"509","AUD","MI Inflation Expectations","3.7%","","3.4%","yellow","2021-02-10 15:00:00"
"510","JPY","Bank Holiday","","","","grey","2021-02-10 08:00:00"
"511","GBP","RICS House Price Balance","50%","60%","63%","yellow","2021-02-10 15:01:00"
"512","CNY","Bank Holiday","","","","grey","2021-02-10 08:00:00"
"513","EUR","German WPI m/m","2.1%","0.4%","0.6%","yellow","2021-02-10 22:00:00"
"514","EUR","EU Economic Forecasts","","","","orange","2021-02-11 01:00:00"
"515","USD","Unemployment Claims","793K","755K","812K","orange","2021-02-11 04:30:00"
"516","USD","Mortgage Delinquencies","6.73%","","7.65%","yellow","2021-02-11 06:00:00"
"517","USD","Natural Gas Storage","-171B","-180B","-192B","yellow","2021-02-11 06:30:00"
"518","USD","30-y Bond Auction","1.93|2.2","","1.83|2.5","yellow","2021-02-11 09:01:00"
"519","NZD","BusinessNZ Manufacturing Index","57.5","","48.3","yellow","2021-02-11 12:30:00"
"520","NZD","FPI m/m","1.3%","","0.1%","yellow","2021-02-11 12:45:00"
"521","CNY","Bank Holiday","","","","grey","2021-02-11 08:00:00"
"522","GBP","Prelim GDP q/q","1.0%","0.5%","16.0%","orange","2021-02-11 22:00:00"
"523","GBP","Construction Output m/m","-2.9%","0.5%","1.7%","yellow","2021-02-12 08:00:00"
"524","GBP","GDP m/m","1.2%","1.0%","-2.3%","yellow","2021-02-12 08:00:00"
"525","GBP","Goods Trade Balance","-14.3B","-15.3B","-14.8B","yellow","2021-02-12 08:00:00"
"526","GBP","Index of Services 3m/3m","0.6%","0.0%","4.1%","yellow","2021-02-12 08:00:00"
