"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"394",721.788194444444,509,424,6031.97296000005,4849.59203000002,5,10,8.35698478643422,"SEQ","EURGBP","15 mins/1 hour","40/25/2/60/4/100/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"197",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/1 hour","40/25/2/50/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"541",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/1 hour","40/25/2/60/4/30/2/30/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"551",0,0,0,0,0,0,0,0,"SEQ","EURGBP","15 mins/1 hour","40/25/2/60/4/30/2/30/2.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2011",721.788194444444,2221,1521,12380.4980017159,6000,5,4.44325559381252,17.152536016809,"SEQ","EURGBP","15 mins/15 mins","10/25/2/60/2/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3511",721.788194444444,1531,1135,10838.8665141606,6000,6,6.07231539839357,15.016685777887,"SEQ","EURGBP","15 mins/1 hour","10/25/2/60/4/30/1.5/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1311",721.788194444444,1435,1061,10330.992191217,6000,6,5.34081774168383,14.3130523202428,"SEQ","EURGBP","15 mins/1 hour","10/25/2/40/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3811",721.788194444444,1407,1055,9149.41521624924,6000,5,6.36362524657593,12.67603888048,"SEQ","EURGBP","15 mins/1 hour","10/25/2/60/4/30/2/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1411",721.788194444444,1422,1051,10840.1633968462,6000,6,5.99262117169156,15.0184825413913,"SEQ","EURGBP","15 mins/1 hour","10/25/2/50/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"611",721.788194444444,1405,1038,11380.2088044968,6000,6,5.95153186716793,15.7666873635361,"SEQ","EURGBP","15 mins/1 hour","10/30/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1611",721.788194444444,1367,1022,11605.9265401083,6000,7,8.14379012453873,16.0794075456461,"SEQ","EURGBP","15 mins/1 hour","10/25/2/70/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3911",721.788194444444,1379,1021,9218.02065762478,6000,6,5.95153186716793,12.7710881510328,"SEQ","EURGBP","15 mins/1 hour","10/25/2/60/4/30/2/20/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4811",721.788194444444,1368,1009,10448.7207860731,6000,6,5.95153186716793,14.4761591648301,"SEQ","EURGBP","15 mins/1 hour","10/25/2/60/4/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4911",721.788194444444,1358,1007,9614.77329234418,6000,6,5.95153186716793,13.3207682895737,"SEQ","EURGBP","15 mins/1 hour","10/25/2/60/4/30/2/30/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
